Từ tiếng Việt,Sắc thái/Nhóm,Nghĩa tiếng Anh
chưa đột phá lắm,Tiêu cực/Nhấn mạnh,Not yet breakthrough very much
chưa đột phá cực kỳ,Tiêu cực/Nhấn mạnh,Not yet breakthrough extremely
chưa uy tín quá,Tiêu cực/Nhấn mạnh,Not yet reputable too much / extremely
chưa uy tín lắm,Tiêu cực/Nhấn mạnh,Not yet reputable very much
chưa uy tín cực kỳ,Tiêu cực/Nhấn mạnh,Not yet reputable extremely
chưa niềm tin quá,Tiêu cực/Nhấn mạnh,Not yet trust/confidence too much / extremely
chưa niềm tin lắm,Tiêu cực/Nhấn mạnh,Not yet trust/confidence very much
chưa niềm tin cực kỳ,Tiêu cực/Nhấn mạnh,Not yet trust/confidence extremely
chưa tiên phong quá,Tiêu cực/Nhấn mạnh,Not yet pioneering/advanced too much / extremely
chưa tiên phong lắm,Tiêu cực/Nhấn mạnh,Not yet pioneering/advanced very much
chưa tiên phong cực kỳ,Tiêu cực/Nhấn mạnh,Not yet pioneering/advanced extremely
chưa hiện đại quá,Tiêu cực/Nhấn mạnh,Not yet modern too much / extremely
chưa hiện đại lắm,Tiêu cực/Nhấn mạnh,Not yet modern very much
chưa hiện đại cực kỳ,Tiêu cực/Nhấn mạnh,Not yet modern extremely
chưa tinh gọn quá,Tiêu cực/Nhấn mạnh,Not yet lean too much / extremely
chưa tinh gọn lắm,Tiêu cực/Nhấn mạnh,Not yet lean very much
chưa tinh gọn cực kỳ,Tiêu cực/Nhấn mạnh,Not yet lean extremely
chưa chuyên nghiệp quá,Tiêu cực/Nhấn mạnh,Not yet professional too much / extremely
chưa chuyên nghiệp lắm,Tiêu cực/Nhấn mạnh,Not yet professional very much
chưa chuyên nghiệp cực kỳ,Tiêu cực/Nhấn mạnh,Not yet professional extremely
chưa minh bạch quá,Tiêu cực/Nhấn mạnh,Not yet transparent too much / extremely
chưa minh bạch lắm,Tiêu cực/Nhấn mạnh,Not yet transparent very much
chưa minh bạch cực kỳ,Tiêu cực/Nhấn mạnh,Not yet transparent extremely
chưa quyết tâm quá,Tiêu cực/Nhấn mạnh,Not yet determined too much / extremely
chưa quyết tâm lắm,Tiêu cực/Nhấn mạnh,Not yet determined very much
chưa quyết tâm cực kỳ,Tiêu cực/Nhấn mạnh,Not yet determined extremely
chưa năng động quá,Tiêu cực/Nhấn mạnh,Not yet dynamic too much / extremely
chưa năng động lắm,Tiêu cực/Nhấn mạnh,Not yet dynamic very much
chưa năng động cực kỳ,Tiêu cực/Nhấn mạnh,Not yet dynamic extremely
chưa tự hào quá,Tiêu cực/Nhấn mạnh,Not yet proud too much / extremely
chưa tự hào lắm,Tiêu cực/Nhấn mạnh,Not yet proud very much
chưa tự hào cực kỳ,Tiêu cực/Nhấn mạnh,Not yet proud extremely
chưa nhiệt huyết quá,Tiêu cực/Nhấn mạnh,Not yet passionate too much / extremely
chưa nhiệt huyết lắm,Tiêu cực/Nhấn mạnh,Not yet passionate very much
chưa nhiệt huyết cực kỳ,Tiêu cực/Nhấn mạnh,Not yet passionate extremely
chưa yêu thích quá,Tiêu cực/Nhấn mạnh,Not yet love/like too much / extremely
chưa yêu thích lắm,Tiêu cực/Nhấn mạnh,Not yet love/like very much
chưa yêu thích cực kỳ,Tiêu cực/Nhấn mạnh,Not yet love/like extremely
chưa hài lòng quá,Tiêu cực/Nhấn mạnh,Not yet satisfied too much / extremely
chưa hài lòng lắm,Tiêu cực/Nhấn mạnh,Not yet satisfied very much
chưa hài lòng cực kỳ,Tiêu cực/Nhấn mạnh,Not yet satisfied extremely
chưa vui sướng quá,Tiêu cực/Nhấn mạnh,Not yet joyful/delighted too much / extremely
chưa vui sướng lắm,Tiêu cực/Nhấn mạnh,Not yet joyful/delighted very much
chưa vui sướng cực kỳ,Tiêu cực/Nhấn mạnh,Not yet joyful/delighted extremely
chưa hạnh phúc quá,Tiêu cực/Nhấn mạnh,Not yet happy too much / extremely
chưa hạnh phúc lắm,Tiêu cực/Nhấn mạnh,Not yet happy very much
chưa hạnh phúc cực kỳ,Tiêu cực/Nhấn mạnh,Not yet happy extremely
chưa tin tưởng quá,Tiêu cực/Nhấn mạnh,Not yet trustful too much / extremely
chưa tin tưởng lắm,Tiêu cực/Nhấn mạnh,Not yet trustful very much
chưa tin tưởng cực kỳ,Tiêu cực/Nhấn mạnh,Not yet trustful extremely
chưa ngưỡng mộ quá,Tiêu cực/Nhấn mạnh,Not yet admire too much / extremely
chưa ngưỡng mộ lắm,Tiêu cực/Nhấn mạnh,Not yet admire very much
chưa ngưỡng mộ cực kỳ,Tiêu cực/Nhấn mạnh,Not yet admire extremely
chưa cảm kích quá,Tiêu cực/Nhấn mạnh,Not yet grateful too much / extremely
chưa cảm kích lắm,Tiêu cực/Nhấn mạnh,Not yet grateful very much
chưa cảm kích cực kỳ,Tiêu cực/Nhấn mạnh,Not yet grateful extremely
chưa lạc quan quá,Tiêu cực/Nhấn mạnh,Not yet optimistic too much / extremely
chưa lạc quan lắm,Tiêu cực/Nhấn mạnh,Not yet optimistic very much
chưa lạc quan cực kỳ,Tiêu cực/Nhấn mạnh,Not yet optimistic extremely
chưa an tâm quá,Tiêu cực/Nhấn mạnh,Not yet reassured too much / extremely
chưa an tâm lắm,Tiêu cực/Nhấn mạnh,Not yet reassured very much
chưa an tâm cực kỳ,Tiêu cực/Nhấn mạnh,Not yet reassured extremely
chưa thân thiện quá,Tiêu cực/Nhấn mạnh,Not yet friendly too much / extremely
chưa thân thiện lắm,Tiêu cực/Nhấn mạnh,Not yet friendly very much
chưa thân thiện cực kỳ,Tiêu cực/Nhấn mạnh,Not yet friendly extremely
chưa mến khách quá,Tiêu cực/Nhấn mạnh,Not yet hospitable too much / extremely
chưa mến khách lắm,Tiêu cực/Nhấn mạnh,Not yet hospitable very much
chưa mến khách cực kỳ,Tiêu cực/Nhấn mạnh,Not yet hospitable extremely
chưa hào hứng quá,Tiêu cực/Nhấn mạnh,Not yet excited too much / extremely
chưa hào hứng lắm,Tiêu cực/Nhấn mạnh,Not yet excited very much
chưa hào hứng cực kỳ,Tiêu cực/Nhấn mạnh,Not yet excited extremely
chưa phấn khởi quá,Tiêu cực/Nhấn mạnh,Not yet elated too much / extremely
chưa phấn khởi lắm,Tiêu cực/Nhấn mạnh,Not yet elated very much
chưa phấn khởi cực kỳ,Tiêu cực/Nhấn mạnh,Not yet elated extremely
chưa may mắn quá,Tiêu cực/Nhấn mạnh,Not yet lucky/fortunate too much / extremely
chưa may mắn lắm,Tiêu cực/Nhấn mạnh,Not yet lucky/fortunate very much
chưa may mắn cực kỳ,Tiêu cực/Nhấn mạnh,Not yet lucky/fortunate extremely
chưa vinh dự quá,Tiêu cực/Nhấn mạnh,Not yet honored too much / extremely
chưa vinh dự lắm,Tiêu cực/Nhấn mạnh,Not yet honored very much
chưa vinh dự cực kỳ,Tiêu cực/Nhấn mạnh,Not yet honored extremely
chưa tuyệt vời quá,Tiêu cực/Nhấn mạnh,Not yet wonderful/excellent too much / extremely
chưa tuyệt vời lắm,Tiêu cực/Nhấn mạnh,Not yet wonderful/excellent very much
chưa tuyệt vời cực kỳ,Tiêu cực/Nhấn mạnh,Not yet wonderful/excellent extremely
chưa xuất sắc quá,Tiêu cực/Nhấn mạnh,Not yet outstanding too much / extremely
chưa xuất sắc lắm,Tiêu cực/Nhấn mạnh,Not yet outstanding very much
chưa xuất sắc cực kỳ,Tiêu cực/Nhấn mạnh,Not yet outstanding extremely
chưa hoàn hảo quá,Tiêu cực/Nhấn mạnh,Not yet perfect too much / extremely
chưa hoàn hảo lắm,Tiêu cực/Nhấn mạnh,Not yet perfect very much
chưa hoàn hảo cực kỳ,Tiêu cực/Nhấn mạnh,Not yet perfect extremely
chưa thỏa mãn quá,Tiêu cực/Nhấn mạnh,Not yet contented/satisfied too much / extremely
chưa thỏa mãn lắm,Tiêu cực/Nhấn mạnh,Not yet contented/satisfied very much
chưa thỏa mãn cực kỳ,Tiêu cực/Nhấn mạnh,Not yet contented/satisfied extremely
chưa yêu mến quá,Tiêu cực/Nhấn mạnh,Not yet beloved too much / extremely
chưa yêu mến lắm,Tiêu cực/Nhấn mạnh,Not yet beloved very much
chưa yêu mến cực kỳ,Tiêu cực/Nhấn mạnh,Not yet beloved extremely
chưa trân trọng quá,Tiêu cực/Nhấn mạnh,Not yet appreciative too much / extremely
chưa trân trọng lắm,Tiêu cực/Nhấn mạnh,Not yet appreciative very much
chưa trân trọng cực kỳ,Tiêu cực/Nhấn mạnh,Not yet appreciative extremely
chưa kính trọng quá,Tiêu cực/Nhấn mạnh,Not yet respectful too much / extremely
chưa kính trọng lắm,Tiêu cực/Nhấn mạnh,Not yet respectful very much
chưa kính trọng cực kỳ,Tiêu cực/Nhấn mạnh,Not yet respectful extremely
chưa khâm phục quá,Tiêu cực/Nhấn mạnh,Not yet admirable too much / extremely
chưa khâm phục lắm,Tiêu cực/Nhấn mạnh,Not yet admirable very much
chưa khâm phục cực kỳ,Tiêu cực/Nhấn mạnh,Not yet admirable extremely
chưa ấm áp quá,Tiêu cực/Nhấn mạnh,Not yet warm too much / extremely
chưa ấm áp lắm,Tiêu cực/Nhấn mạnh,Not yet warm very much
chưa ấm áp cực kỳ,Tiêu cực/Nhấn mạnh,Not yet warm extremely
chưa bình yên quá,Tiêu cực/Nhấn mạnh,Not yet peaceful too much / extremely
chưa bình yên lắm,Tiêu cực/Nhấn mạnh,Not yet peaceful very much
chưa bình yên cực kỳ,Tiêu cực/Nhấn mạnh,Not yet peaceful extremely
chưa vui vẻ quá,Tiêu cực/Nhấn mạnh,Not yet cheerful too much / extremely
chưa vui vẻ lắm,Tiêu cực/Nhấn mạnh,Not yet cheerful very much
chưa vui vẻ cực kỳ,Tiêu cực/Nhấn mạnh,Not yet cheerful extremely
chưa ngập tràn niềm vui quá,Tiêu cực/Nhấn mạnh,Not yet joyous too much / extremely
chưa ngập tràn niềm vui lắm,Tiêu cực/Nhấn mạnh,Not yet joyous very much
chưa ngập tràn niềm vui cực kỳ,Tiêu cực/Nhấn mạnh,Not yet joyous extremely
chưa khấp khởi quá,Tiêu cực/Nhấn mạnh,Not yet expectantly joyful too much / extremely
chưa khấp khởi lắm,Tiêu cực/Nhấn mạnh,Not yet expectantly joyful very much
chưa khấp khởi cực kỳ,Tiêu cực/Nhấn mạnh,Not yet expectantly joyful extremely
chưa hân hoan quá,Tiêu cực/Nhấn mạnh,Not yet jubilant too much / extremely
chưa hân hoan lắm,Tiêu cực/Nhấn mạnh,Not yet jubilant very much
chưa hân hoan cực kỳ,Tiêu cực/Nhấn mạnh,Not yet jubilant extremely
chưa rạng rỡ quá,Tiêu cực/Nhấn mạnh,Not yet radiant too much / extremely
chưa rạng rỡ lắm,Tiêu cực/Nhấn mạnh,Not yet radiant very much
chưa rạng rỡ cực kỳ,Tiêu cực/Nhấn mạnh,Not yet radiant extremely
chưa sáng tạo quá,Tiêu cực/Nhấn mạnh,Not yet creative too much / extremely
chưa sáng tạo lắm,Tiêu cực/Nhấn mạnh,Not yet creative very much
chưa sáng tạo cực kỳ,Tiêu cực/Nhấn mạnh,Not yet creative extremely
chưa đổi mới quá,Tiêu cực/Nhấn mạnh,Not yet innovative too much / extremely
chưa đổi mới lắm,Tiêu cực/Nhấn mạnh,Not yet innovative very much
chưa đổi mới cực kỳ,Tiêu cực/Nhấn mạnh,Not yet innovative extremely
chưa kiên trì quá,Tiêu cực/Nhấn mạnh,Not yet persistent too much / extremely
chưa kiên trì lắm,Tiêu cực/Nhấn mạnh,Not yet persistent very much
chưa kiên trì cực kỳ,Tiêu cực/Nhấn mạnh,Not yet persistent extremely
chưa bền bỉ quá,Tiêu cực/Nhấn mạnh,Not yet resilient too much / extremely
chưa bền bỉ lắm,Tiêu cực/Nhấn mạnh,Not yet resilient very much
chưa bền bỉ cực kỳ,Tiêu cực/Nhấn mạnh,Not yet resilient extremely
chưa quyết liệt quá,Tiêu cực/Nhấn mạnh,Not yet drastic/fierce too much / extremely
chưa quyết liệt lắm,Tiêu cực/Nhấn mạnh,Not yet drastic/fierce very much
chưa quyết liệt cực kỳ,Tiêu cực/Nhấn mạnh,Not yet drastic/fierce extremely
chưa chủ động quá,Tiêu cực/Nhấn mạnh,Not yet proactive too much / extremely
chưa chủ động lắm,Tiêu cực/Nhấn mạnh,Not yet proactive very much
chưa chủ động cực kỳ,Tiêu cực/Nhấn mạnh,Not yet proactive extremely
chưa tự xin quá,Tiêu cực/Nhấn mạnh,Not yet confident too much / extremely
chưa tự xin lắm,Tiêu cực/Nhấn mạnh,Not yet confident very much
chưa tự xin cực kỳ,Tiêu cực/Nhấn mạnh,Not yet confident extremely
chưa tự tin quá,Tiêu cực/Nhấn mạnh,Not yet confident too much / extremely
chưa tự tin lắm,Tiêu cực/Nhấn mạnh,Not yet confident very much
chưa tự tin cực kỳ,Tiêu cực/Nhấn mạnh,Not yet confident extremely
chưa dũng cảm quá,Tiêu cực/Nhấn mạnh,Not yet brave/courageous too much / extremely
chưa dũng cảm lắm,Tiêu cực/Nhấn mạnh,Not yet brave/courageous very much
chưa dũng cảm cực kỳ,Tiêu cực/Nhấn mạnh,Not yet brave/courageous extremely
chưa kiên cường quá,Tiêu cực/Nhấn mạnh,Not yet indomitable too much / extremely
chưa kiên cường lắm,Tiêu cực/Nhấn mạnh,Not yet indomitable very much
chưa kiên cường cực kỳ,Tiêu cực/Nhấn mạnh,Not yet indomitable extremely
chưa nỗ lực quá,Tiêu cực/Nhấn mạnh,Not yet effort/striving too much / extremely
chưa nỗ lực lắm,Tiêu cực/Nhấn mạnh,Not yet effort/striving very much
chưa nỗ lực cực kỳ,Tiêu cực/Nhấn mạnh,Not yet effort/striving extremely
chưa cố gắng quá,Tiêu cực/Nhấn mạnh,Not yet trying/endeavoring too much / extremely
chưa cố gắng lắm,Tiêu cực/Nhấn mạnh,Not yet trying/endeavoring very much
chưa cố gắng cực kỳ,Tiêu cực/Nhấn mạnh,Not yet trying/endeavoring extremely
chưa hết mình quá,Tiêu cực/Nhấn mạnh,Not yet wholehearted too much / extremely
chưa hết mình lắm,Tiêu cực/Nhấn mạnh,Not yet wholehearted very much
chưa hết mình cực kỳ,Tiêu cực/Nhấn mạnh,Not yet wholehearted extremely
chưa tận tâm quá,Tiêu cực/Nhấn mạnh,Not yet dedicated too much / extremely
chưa tận tâm lắm,Tiêu cực/Nhấn mạnh,Not yet dedicated very much
chưa tận tâm cực kỳ,Tiêu cực/Nhấn mạnh,Not yet dedicated extremely
chưa chu đáo quá,Tiêu cực/Nhấn mạnh,Not yet thoughtful/attentive too much / extremely
chưa chu đáo lắm,Tiêu cực/Nhấn mạnh,Not yet thoughtful/attentive very much
chưa chu đáo cực kỳ,Tiêu cực/Nhấn mạnh,Not yet thoughtful/attentive extremely
chưa sẵn sàng quá,Tiêu cực/Nhấn mạnh,Not yet ready/willing too much / extremely
chưa sẵn sàng lắm,Tiêu cực/Nhấn mạnh,Not yet ready/willing very much
chưa sẵn sàng cực kỳ,Tiêu cực/Nhấn mạnh,Not yet ready/willing extremely
chưa hăng hái quá,Tiêu cực/Nhấn mạnh,Not yet enthusiastic too much / extremely
chưa hăng hái lắm,Tiêu cực/Nhấn mạnh,Not yet enthusiastic very much
chưa hăng hái cực kỳ,Tiêu cực/Nhấn mạnh,Not yet enthusiastic extremely
chưa sôi nổi quá,Tiêu cực/Nhấn mạnh,Not yet lively/vibrant too much / extremely
chưa sôi nổi lắm,Tiêu cực/Nhấn mạnh,Not yet lively/vibrant very much
chưa sôi nổi cực kỳ,Tiêu cực/Nhấn mạnh,Not yet lively/vibrant extremely
chưa tự lực quá,Tiêu cực/Nhấn mạnh,Not yet self-reliant too much / extremely
chưa tự lực lắm,Tiêu cực/Nhấn mạnh,Not yet self-reliant very much
chưa tự lực cực kỳ,Tiêu cực/Nhấn mạnh,Not yet self-reliant extremely
chưa bứt phá quá,Tiêu cực/Nhấn mạnh,Not yet breaking through too much / extremely
chưa bứt phá lắm,Tiêu cực/Nhấn mạnh,Not yet breaking through very much
chưa bứt phá cực kỳ,Tiêu cực/Nhấn mạnh,Not yet breaking through extremely
chưa kiên định quá,Tiêu cực/Nhấn mạnh,Not yet steadfast too much / extremely
chưa kiên định lắm,Tiêu cực/Nhấn mạnh,Not yet steadfast very much
chưa kiên định cực kỳ,Tiêu cực/Nhấn mạnh,Not yet steadfast extremely
chưa tràn đầy năng lượng quá,Tiêu cực/Nhấn mạnh,Not yet energetic too much / extremely
chưa tràn đầy năng lượng lắm,Tiêu cực/Nhấn mạnh,Not yet energetic very much
chưa tràn đầy năng lượng cực kỳ,Tiêu cực/Nhấn mạnh,Not yet energetic extremely
chưa sục sôi quá,Tiêu cực/Nhấn mạnh,Not yet seething/burning too much / extremely
chưa sục sôi lắm,Tiêu cực/Nhấn mạnh,Not yet seething/burning very much
chưa sục sôi cực kỳ,Tiêu cực/Nhấn mạnh,Not yet seething/burning extremely
chưa đồng lòng quá,Tiêu cực/Nhấn mạnh,Not yet unanimous too much / extremely
chưa đồng lòng lắm,Tiêu cực/Nhấn mạnh,Not yet unanimous very much
chưa đồng lòng cực kỳ,Tiêu cực/Nhấn mạnh,Not yet unanimous extremely
chưa nhất trí quá,Tiêu cực/Nhấn mạnh,Not yet agreed/consensus too much / extremely
chưa nhất trí lắm,Tiêu cực/Nhấn mạnh,Not yet agreed/consensus very much
chưa nhất trí cực kỳ,Tiêu cực/Nhấn mạnh,Not yet agreed/consensus extremely
chưa chung sức quá,Tiêu cực/Nhấn mạnh,Not yet joining forces too much / extremely
chưa chung sức lắm,Tiêu cực/Nhấn mạnh,Not yet joining forces very much
chưa chung sức cực kỳ,Tiêu cực/Nhấn mạnh,Not yet joining forces extremely
chưa vượt trội quá,Tiêu cực/Nhấn mạnh,Not yet superior too much / extremely
chưa vượt trội lắm,Tiêu cực/Nhấn mạnh,Not yet superior very much
chưa vượt trội cực kỳ,Tiêu cực/Nhấn mạnh,Not yet superior extremely
chưa tối ưu quá,Tiêu cực/Nhấn mạnh,Not yet optimal too much / extremely
chưa tối ưu lắm,Tiêu cực/Nhấn mạnh,Not yet optimal very much
chưa tối ưu cực kỳ,Tiêu cực/Nhấn mạnh,Not yet optimal extremely
chưa bứt tốc quá,Tiêu cực/Nhấn mạnh,Not yet accelerating too much / extremely
chưa bứt tốc lắm,Tiêu cực/Nhấn mạnh,Not yet accelerating very much
chưa bứt tốc cực kỳ,Tiêu cực/Nhấn mạnh,Not yet accelerating extremely
chưa thuận lợi quá,Tiêu cực/Nhấn mạnh,Not yet favorable too much / extremely
chưa thuận lợi lắm,Tiêu cực/Nhấn mạnh,Not yet favorable very much
chưa thuận lợi cực kỳ,Tiêu cực/Nhấn mạnh,Not yet favorable extremely
chưa tiềm năng quá,Tiêu cực/Nhấn mạnh,Not yet potential too much / extremely
chưa tiềm năng lắm,Tiêu cực/Nhấn mạnh,Not yet potential very much
chưa tiềm năng cực kỳ,Tiêu cực/Nhấn mạnh,Not yet potential extremely
chưa phồn vinh quá,Tiêu cực/Nhấn mạnh,Not yet prosperous too much / extremely
chưa phồn vinh lắm,Tiêu cực/Nhấn mạnh,Not yet prosperous very much
chưa phồn vinh cực kỳ,Tiêu cực/Nhấn mạnh,Not yet prosperous extremely
chưa thịnh vượng quá,Tiêu cực/Nhấn mạnh,Not yet wealthy/prosperous too much / extremely
chưa thịnh vượng lắm,Tiêu cực/Nhấn mạnh,Not yet wealthy/prosperous very much
chưa thịnh vượng cực kỳ,Tiêu cực/Nhấn mạnh,Not yet wealthy/prosperous extremely
chưa khởi sắc quá,Tiêu cực/Nhấn mạnh,Not yet flourishing/improving too much / extremely
chưa khởi sắc lắm,Tiêu cực/Nhấn mạnh,Not yet flourishing/improving very much
chưa khởi sắc cực kỳ,Tiêu cực/Nhấn mạnh,Not yet flourishing/improving extremely
chưa thăng tiến quá,Tiêu cực/Nhấn mạnh,Not yet advancing too much / extremely
chưa thăng tiến lắm,Tiêu cực/Nhấn mạnh,Not yet advancing very much
chưa thăng tiến cực kỳ,Tiêu cực/Nhấn mạnh,Not yet advancing extremely
chưa phát triển quá,Tiêu cực/Nhấn mạnh,Not yet developing too much / extremely
chưa phát triển lắm,Tiêu cực/Nhấn mạnh,Not yet developing very much
chưa phát triển cực kỳ,Tiêu cực/Nhấn mạnh,Not yet developing extremely
chưa mở rộng quá,Tiêu cực/Nhấn mạnh,Not yet expanding too much / extremely
chưa mở rộng lắm,Tiêu cực/Nhấn mạnh,Not yet expanding very much
chưa mở rộng cực kỳ,Tiêu cực/Nhấn mạnh,Not yet expanding extremely
chưa vững chắc quá,Tiêu cực/Nhấn mạnh,Not yet solid/firm too much / extremely
chưa vững chắc lắm,Tiêu cực/Nhấn mạnh,Not yet solid/firm very much
chưa vững chắc cực kỳ,Tiêu cực/Nhấn mạnh,Not yet solid/firm extremely
chưa chính xác quá,Tiêu cực/Nhấn mạnh,Not yet accurate too much / extremely
chưa chính xác lắm,Tiêu cực/Nhấn mạnh,Not yet accurate very much
chưa chính xác cực kỳ,Tiêu cực/Nhấn mạnh,Not yet accurate extremely
chưa nhanh chóng quá,Tiêu cực/Nhấn mạnh,Not yet rapid/quick too much / extremely
chưa nhanh chóng lắm,Tiêu cực/Nhấn mạnh,Not yet rapid/quick very much
chưa nhanh chóng cực kỳ,Tiêu cực/Nhấn mạnh,Not yet rapid/quick extremely
chưa kịp thời quá,Tiêu cực/Nhấn mạnh,Not yet timely too much / extremely
chưa kịp thời lắm,Tiêu cực/Nhấn mạnh,Not yet timely very much
chưa kịp thời cực kỳ,Tiêu cực/Nhấn mạnh,Not yet timely extremely
chưa nhạy bén quá,Tiêu cực/Nhấn mạnh,Not yet sharp/agile too much / extremely
chưa nhạy bén lắm,Tiêu cực/Nhấn mạnh,Not yet sharp/agile very much
chưa nhạy bén cực kỳ,Tiêu cực/Nhấn mạnh,Not yet sharp/agile extremely
mất hiệu quả quá,Tiêu cực/Nhấn mạnh,Lost effective too much / extremely
mất hiệu quả lắm,Tiêu cực/Nhấn mạnh,Lost effective very much
mất hiệu quả cực kỳ,Tiêu cực/Nhấn mạnh,Lost effective extremely
mất phù hợp quá,Tiêu cực/Nhấn mạnh,Lost suitable too much / extremely
mất phù hợp lắm,Tiêu cực/Nhấn mạnh,Lost suitable very much
mất phù hợp cực kỳ,Tiêu cực/Nhấn mạnh,Lost suitable extremely
mất chất lượng cao quá,Tiêu cực/Nhấn mạnh,Lost high quality too much / extremely
mất chất lượng cao lắm,Tiêu cực/Nhấn mạnh,Lost high quality very much
mất chất lượng cao cực kỳ,Tiêu cực/Nhấn mạnh,Lost high quality extremely
mất dẫn đầu quá,Tiêu cực/Nhấn mạnh,Lost leading too much / extremely
mất dẫn đầu lắm,Tiêu cực/Nhấn mạnh,Lost leading very much
mất dẫn đầu cực kỳ,Tiêu cực/Nhấn mạnh,Lost leading extremely
mất linh hoạt quá,Tiêu cực/Nhấn mạnh,Lost flexible too much / extremely
mất linh hoạt lắm,Tiêu cực/Nhấn mạnh,Lost flexible very much
mất linh hoạt cực kỳ,Tiêu cực/Nhấn mạnh,Lost flexible extremely
mất chủ lực quá,Tiêu cực/Nhấn mạnh,Lost core/pillar too much / extremely
mất chủ lực lắm,Tiêu cực/Nhấn mạnh,Lost core/pillar very much
mất chủ lực cực kỳ,Tiêu cực/Nhấn mạnh,Lost core/pillar extremely
mất vững mạnh quá,Tiêu cực/Nhấn mạnh,Lost strong/healthy too much / extremely
mất vững mạnh lắm,Tiêu cực/Nhấn mạnh,Lost strong/healthy very much
mất vững mạnh cực kỳ,Tiêu cực/Nhấn mạnh,Lost strong/healthy extremely
mất an toàn quá,Tiêu cực/Nhấn mạnh,Lost safe/secure too much / extremely
mất an toàn lắm,Tiêu cực/Nhấn mạnh,Lost safe/secure very much
mất an toàn cực kỳ,Tiêu cực/Nhấn mạnh,Lost safe/secure extremely
mất bền vững quá,Tiêu cực/Nhấn mạnh,Lost sustainable too much / extremely
mất bền vững lắm,Tiêu cực/Nhấn mạnh,Lost sustainable very much
mất bền vững cực kỳ,Tiêu cực/Nhấn mạnh,Lost sustainable extremely
mất đột phá quá,Tiêu cực/Nhấn mạnh,Lost breakthrough too much / extremely
mất đột phá lắm,Tiêu cực/Nhấn mạnh,Lost breakthrough very much
mất đột phá cực kỳ,Tiêu cực/Nhấn mạnh,Lost breakthrough extremely
mất uy tín quá,Tiêu cực/Nhấn mạnh,Lost reputable too much / extremely
mất uy tín lắm,Tiêu cực/Nhấn mạnh,Lost reputable very much
mất uy tín cực kỳ,Tiêu cực/Nhấn mạnh,Lost reputable extremely
mất niềm tin quá,Tiêu cực/Nhấn mạnh,Lost trust/confidence too much / extremely
mất niềm tin lắm,Tiêu cực/Nhấn mạnh,Lost trust/confidence very much
mất niềm tin cực kỳ,Tiêu cực/Nhấn mạnh,Lost trust/confidence extremely
mất tiên phong quá,Tiêu cực/Nhấn mạnh,Lost pioneering/advanced too much / extremely
mất tiên phong lắm,Tiêu cực/Nhấn mạnh,Lost pioneering/advanced very much
mất tiên phong cực kỳ,Tiêu cực/Nhấn mạnh,Lost pioneering/advanced extremely
mất hiện đại quá,Tiêu cực/Nhấn mạnh,Lost modern too much / extremely
mất hiện đại lắm,Tiêu cực/Nhấn mạnh,Lost modern very much
mất hiện đại cực kỳ,Tiêu cực/Nhấn mạnh,Lost modern extremely
mất tinh gọn quá,Tiêu cực/Nhấn mạnh,Lost lean too much / extremely
mất tinh gọn lắm,Tiêu cực/Nhấn mạnh,Lost lean very much
mất tinh gọn cực kỳ,Tiêu cực/Nhấn mạnh,Lost lean extremely
mất chuyên nghiệp quá,Tiêu cực/Nhấn mạnh,Lost professional too much / extremely
mất chuyên nghiệp lắm,Tiêu cực/Nhấn mạnh,Lost professional very much
mất chuyên nghiệp cực kỳ,Tiêu cực/Nhấn mạnh,Lost professional extremely
mất minh bạch quá,Tiêu cực/Nhấn mạnh,Lost transparent too much / extremely
mất minh bạch lắm,Tiêu cực/Nhấn mạnh,Lost transparent very much
mất minh bạch cực kỳ,Tiêu cực/Nhấn mạnh,Lost transparent extremely
mất quyết tâm quá,Tiêu cực/Nhấn mạnh,Lost determined too much / extremely
mất quyết tâm lắm,Tiêu cực/Nhấn mạnh,Lost determined very much
mất quyết tâm cực kỳ,Tiêu cực/Nhấn mạnh,Lost determined extremely
mất năng động quá,Tiêu cực/Nhấn mạnh,Lost dynamic too much / extremely
mất năng động lắm,Tiêu cực/Nhấn mạnh,Lost dynamic very much
mất năng động cực kỳ,Tiêu cực/Nhấn mạnh,Lost dynamic extremely
mất tự hào quá,Tiêu cực/Nhấn mạnh,Lost proud too much / extremely
mất tự hào lắm,Tiêu cực/Nhấn mạnh,Lost proud very much
mất tự hào cực kỳ,Tiêu cực/Nhấn mạnh,Lost proud extremely
mất nhiệt huyết quá,Tiêu cực/Nhấn mạnh,Lost passionate too much / extremely
mất nhiệt huyết lắm,Tiêu cực/Nhấn mạnh,Lost passionate very much
mất nhiệt huyết cực kỳ,Tiêu cực/Nhấn mạnh,Lost passionate extremely
mất yêu thích quá,Tiêu cực/Nhấn mạnh,Lost love/like too much / extremely
mất yêu thích lắm,Tiêu cực/Nhấn mạnh,Lost love/like very much
mất yêu thích cực kỳ,Tiêu cực/Nhấn mạnh,Lost love/like extremely
mất hài lòng quá,Tiêu cực/Nhấn mạnh,Lost satisfied too much / extremely
mất hài lòng lắm,Tiêu cực/Nhấn mạnh,Lost satisfied very much
mất hài lòng cực kỳ,Tiêu cực/Nhấn mạnh,Lost satisfied extremely
mất vui sướng quá,Tiêu cực/Nhấn mạnh,Lost joyful/delighted too much / extremely
mất vui sướng lắm,Tiêu cực/Nhấn mạnh,Lost joyful/delighted very much
